,Chinese,English
88,汪克寬,Wang Kekuan
89,明治十九年之後,Nineteen years after the Meiji period
90,禪宗頌古聯珠通集,Zen song ancient Lianzhu Tong set
91,日本東京文京區湯島,"Yujima, Bunkyo District, Tokyo, Japan"
92,日本京都府京都右京區南禪寺,"Nanzen Temple in Yukyo District, Kyoto, the capital of Japan"
93,誠齋集,Seisaiji
94,江戶醫學館(初名“躋壽館”),"Edo Medical Museum (original name ""Sakishukan"")"
95,劉義慶/劉孝標,Liu Yiqing/Liu Xiaobiao
96,安徽省舒縣,"Shu County, Anhui Province"
97,南宋/南宋,The Southern Song Dynasty
98,室町時期,Muromachi period
99,林宗二,Lin Zonger
100,中國-上海-青浦,"Qingpu, Shanghai, China"
101,新編類要圖註本草,The new class diagram notes materia medica
102,明治二十一年,The 21st year of Meiji
103,日本-京都-右京-南禪寺,Japan - Kyoto - Yukyo - Nanzen Temple
104,五山時期(且成立京都五山之後),Goyama Period (and after the establishment of Kyoto Goyama)
105,日本-京都-东山区,Japan - Kyoto - Higashiyama Ward
106,文政十一年至明治十年,From the eleventh year of Wenzheng to the tenth year of Meiji
107,寶歷五年至文化七年,Baoli five years to culture seven years
108,北宋,Northern Song Dynasty
109,徐堅,Xu Jian
110,大正十一年壬戌冬,The eleventh year of Taisho was the winter of Xu
111,上杉憲實,Kenminori Uesugi
112,資助刊刻,Subsidized printing
113,中國-湖北-陽新,"Yangxin, Hubei Province, China"
114,彭寅翁,Peng Yin Weng
115,古今韻會舉要,Ancient and modern rhyme will mention
116, 江戶後期,Late edo period
117,桂宮文庫,Kigiya Bunko
118,鐮倉時期（北條實時之後）,Kamakura Period (after Hojo real-time)
119,文化五年二月,Culture 5 February
120,日本東京紅葉山,"Red Leaf Mountain, Tokyo, Japan"
121,真勢中洲,True power Zhong Zhou
122,1599年以後,After 1599
123,明治二十四年至昭和二十四年,Meiji 24 to Showa 24
124,識語,cognizance
125,江戶時代前期,The early Edo period
126,李昉,Li Fang
127,文化辛未,Cultural xin Wei
128,禮記集說,The book of Rites says
129,躋壽館,sakishukan
130,小倉祐利,Yuori Ogura
131,皇室,Royal family
132,建,build
133,元至正四年,Four years from Yuan to Zheng
134,明治年間,Meiji period
135,日本京都府京都市東山區本町15-778,"15-778 Motomachi, Higashiyama Ward, Kyodo City, Kyodo Prefecture, Japan"
136,弘化三年後,After three years of honing
137,福建,Fujian Province
138,中國-江西-吉安,China - Jiangxi - Ji 'an
139,巢元方,Neiyuan formula
140,日本東京都千代田區神田佐九間町醫學館,"Kanda Saguinamachi Medical Institute, Chiyoda Ward, Tokyo, Japan"
141,圭山書院,Keisan Seowon
142,1884,1884
143,廣壽院,Guangshou hospital
144,日本-京都-相國寺,Japan -- Kyoto -- Prime Temple
145,陳澔,Chen ho
146,日本東京都台東區上野公園,"Ueno Park, Taidong District, Tokyo, Japan"
147,四書章圖纂釋,The four books and chapters of the map compilation
148,明治六年至明治十八年之間,Between the sixth and 18th years of Meiji
149,漢城府,Seoul prefecture
150,江西,Jiangxi
151,井口蘭雪,Iguchi Lanxue
152,日本大阪府,"Osaka Prefecture, Japan"
153,爾雅注疏,A surname
154,收藏/題識/批註,Bookmark/mark/comment
155,日本-東京-文京-湯島,Japan - Tokyo - Bunkyo - Yujima
156,中國-江蘇-蘇州,China - Jiangsu - Suzhou
157,呂祖謙,Lv Zuqian
158,日本-京都-右京-嵯峨-北堀町,Japan - Kyoto - Yukyo - Saga - Kitahori Machi
159,建治元年以後,After the first year of Jianzhi
160,暢春堂,Chang Chun Tang
161,建安德新堂,Build a new hall
162,日本神奈川縣橫濱市金澤區,"Kanazawa Ward, Yokohama City, Kanagawa Prefecture, Japan"
163,明治十七年後,Seventeen years after Meiji
164,日本東京都忍岡,"Shinuoka, Tokyo, Japan"
165,實叉難陀,Shiharnanda
166,壬辰之役以前,Before the Battle of the Dawn
167,日本-神奈川-橫濱-金澤,Japan - Kanagawa - Yokohama - Kanazawa
168,樂史,Leshi
169,寶曆五年至享和元年,Bao Li five years to enjoy the first year
170,通典,General code
171,南宋紹興年间（紹興二十一年前）,The Shaoxing Period of the Southern Song Dynasty (21 years before Shaoxing)
172,日本武藏國倉城郡六浦莊,"Rokuura Shoo, Kurashiro Prefecture, Musashiguni, Japan"
173,范履祥,Fan Luxiang
174,寶勝院,Po Sheng hospital
175,江戶醫學館,Edo Medical Museum
176,福建省建瓯市,"Jian 'ou City, Fujian Province"
177,上海市青浦縣,"Qingpu County, Shanghai"
178,陝西安康,"Ankang, Shaanxi Province"
179,注/疏,Injection/thinning
180,日本神奈川縣橫濱市金澤區金澤町,"Kanazawa, Kanazawa Ward, Yokohama City, Kanagawa Prefecture, Japan"
181,柴邦彥,Chai Bangyan
182,菅原在輔,Kazuke Sugawara
183,中国福建建陽,"Jianyang, Fujian Province, China"
184,撰/纂釋,Write/compile
185,明治7年,Meiji 7th year
186,淳熙12年/?,Chunhee 12 years /?
187,孝宗至光宗,The king of Filial Piety to the King of Light
188,南宋孝宗朝,Xiao Zong of the Southern Song Dynasty
189,許謙,Xu Qian
190,日本東京上野湯島,"Ueno Soup Island, Tokyo, Japan"
191,譯,translation
192,紹興府,Shaoxing prefecture
193,寬政八年,Eight years of leniency
194,中國-浙江-杭州-西湖,China - Zhejiang - Hangzhou - West Lake
195,批校,proofreading
196,天明五年以前,The dawn was five years ago
197,日本-東京,Japan - Tokyo
198,神宮寺,Temple of Divine Palace
199,明清之際,Ming and Qing Dynasties
200,享保至明和,Enjoy the peace until tomorrow
201,日本-東京-千代田-霞关,Japan -- Tokyo -- Chiyoda -- Kasumigaseki
202,集部,center
203,1868年,In 1868
204,日本-京都-右京,Japan - Kyoto - Yukyo
205,初學記,Beginner's record
206,帝國博物館,Imperial Museum
207,建安勵賢堂,Jianan Lixian Hall
208,中國江蘇蘇州,"Suzhou, Jiangsu, China"
209,浙江省杭州市,"Hangzhou City, Zhejiang Province"
210,日本-神奈川-橫濱-戶塚,Japan -- Kanagawa -- Yokohama -- Tozuka
211,董楷,Dong Kai
212,中國-浙江-杭州,China - Zhejiang - Hangzhou
213,1773年-1814年,From 1773 to 1814
214,仁孝天皇文政年間至明治十七年,From the reign of Emperor Wenzheng to the 17th year of Meiji
215,中國-吉林-長春,China -- Jilin -- Changchun
216,日本弘化四年後,Four years after Japan's colonization
217,朝鮮李氏王朝王宮,Palace of the Lee Dynasty of Korea
218,日本京都東福寺塔頭艮岳院,"Tofuku Temple tower head Gen Akuyuan, Kyoto, Japan"
219,日本東京內務省,"Ministry of Internal Affairs, Tokyo, Japan"
220,補抄,Make up
221,陳景沂/祝穆,Chen Jingyi/Zhu Mu
222,圓種,Round species
223,愛新覺羅顒琰、旻宁、奕詝、载淳、载湉、溥仪,--
224,龍舒,Long Shu
225,岡山城?,Okayama Castle?
226,中國-湖南,China - Hunan
227,日本室町時代,The Muromachi era
228,附音傍訓晦庵論語句解二卷,Attached to the sound of Xun Hanguan analects sentence solution two volumes
229,亨和三年,Henho three years
230,讀杜草堂/靜節山房,Read Du cottage/static section mountain room
231,日本-神奈川-橫濱-金澤-金澤町,Japan - Kanagawa - Yokohama - Kanazawa - Kanazawa
232,江戶時期,Edo period
233,正法眼藏,The right way is hidden in the eyes
234,描紅,reddening
235,孝經,Filial piety sutra
236,宋祁,Song Qi
237,孝宗乾道年間,During the reign of Emperor Xiaozong Qiandao
238,私人,private
239,中國-江蘇-揚州,"Yangzhou, Jiangsu, China"
240,日本-東京-千代田,Japan - Tokyo - Chiyoda
241,寺田望南,Terada looks south
242,亨和三年前,Henho three years ago
243,編撰/舉要,Compile/write
244,寇宗奭,Kou Zongshi
245,贛州,Ganzhou
246,一九一二年後,After 1912
247,明代,Ming Dynasty
248,文政十一年,Eleven years of civil administration
249,崇道精舍,Chongdao Jing House
250,大德十年,Ten years of Great Virtue
251,文化十三年-明治元年,Thirteen Years of Culture - the first year of Meiji
252,昭和二十四年,Showa twenty-four years
253,收藏,collect
254,心華藏書,Xinhua collection
255,紹興二十八年,Twenty-eight years of Shaoxing
256,懷仙樓,Huai Xian Lou
257,論衡,On balance
258,江西省南昌市,"Nanchang City, Jiangxi Province"
259,林恕,Lin Shu
260,多紀元德,A lot of discipline and virtue
261,日本文政癸未年,Japanese Wenzheng Seiyeon
262,校正刊刻,Corrected printing
263,高麗肅宗六年/大宋建中靖國元年/大遼乾統元年,The sixth year of King Sukjong in Goryeo/The first year of Yasukuni in the Jianzhong of the Song Dynasty/the first year of Gan Tong of the Great Liao Dynasty
264,批註,comment
265,浙江東陽,"Dongyang, Zhejiang Province"
266,寬政三年前,Kuan Zheng three years ago
267,張清子,Zhang Qingzi
268,二戰後,After World War II
269,元天曆元年,The first year of the Yuan calendar
270,日本京都府京都市北區,"The capital of Japan, Kyoto Shihoku"
271,日本-大分-佐伯,Japan - Oita - Zabe
272,日本政府圖書,Japanese government books
273,内閣文庫,Cabinet library
274,德富蘇峰,Defusu Peak
275,文政元年,The first year of Wen Zheng
276,朝鮮-坡平,"Pyeong, North Korea"
277,宮内省圖書寮,The palace province Librarians
278,纂,code
279,朝鮮半島,Korean peninsula
280,明治十七年至明治十八年,Meiji 17th year to Meiji 18th year
281,進獻,contribution
282,杭州,Hangzhou
283,誠齋四六發遣膏馥,Cheng Zhai four six hair send ointment Fu
284,日本-神奈川-鎌倉,Japan -- Kanagawa -- Kamakura
285,釋道泰/智境,Shi Tao Tai/Zhi Jing
286,中國-安徽-舒縣,China - Anhui - Shu County
287,成化六年至嘉靖二年,The sixth year of Chenghua to the second year of Jiajing
288,江西吉州安福縣,Jiangxi Jizhou Anfu County
289,文祿元年以前,Before the first year of Wenlu
290,明治十七年之後,Seventeen years after the Meiji
291,揚州,Yangzhou
292,寬政八年前,Kwansei eight years ago
293,應永九年,Should last nine years
294,著/編/校勘,Written/edited/collated
295,明治5年,Meiji 5th year
296,明德四年後,Minder four years later
297,南宋理宗時期,Rizong period of Southern Song Dynasty
298,渡邊霞亭,Watanabe Xiatine
299,收藏/經手,Collect/handle
300,細川十洲(潤次郎),Hosokawa Tokusu (Runjiro)
301,聯燈會要,The lights will be
302,応永元年後,Yamikumo kieru
303,蒙古憲宗五年,Five years of the Mongolian Constitution
304,趨古齋,Ancient zhai
305,日本-京都-東山-本町,Japan - Kyoto - Higashiyama - Motomachi
306,元祿十四年至天明二年,Yuan Lu fourteen years to two years
307,譚景星/陳泗孔,Tan Jingxing/Chen Sikong
308,大學校,university
309,中國-江西-贛州,China - Jiangxi - Ganzhou
310,南宋光宗年間/延德三年,The Southern Song Dynasty Guangzong period/Yande three years
311,天保五年以後,Tianbao five years later
312,宇喜多秀家,Ukita Hideya
313,中國-安徽-當塗,China - Anhui - Dangtu
314,余彥國,Yu Yanguo
315,日本-東京-千代田-北之丸公園,Japan -- Tokyo -- Chiyoda -- Kitanomaru Park
316,1604年後,After 1604
317,日本-岡山,Japan - Okayama
318,編輯/訂正,Edit/revise
319,趙善繼/盧欽,Zhao Shanji/Lu Qin
320,王文公文集,The collected works of Wang Wengong
321,清嘉慶至宣統年間,Qing Jiaqing to Xuantong years
322,崔舍人玉堂類稿,Cui Sheren jade Hall class manuscript
323,芳春院,Fangchun courtyard
324,掘正意,Dig the right meaning
325,成都府學,Chengdu Fuxue
326,撰,from
327,明治時代,Meiji era
328,建陽,Jianyang
329,宝暦五年之前,Five years before the Paulrek Calendar
330,日本江戶時代九州地區豐后國海部郡佐伯藩,"Sakabe, Kaibe Prefecture, Toyosu Kingdom, Kyushu region, Japan during the Edo Period"
331,誌書精舍,Zhi Shu Jing House
332,日本-東京-台東-藏前町,Japan - Tokyo - Taitung - Ashimae Machi
333,王充,Wang Chong
334,勤有堂,Qin Yutang
335,官員,official
336,朝鮮,North Korea
337,史記,Historical records
338,木村正辭,Masabuki Kimura
339,日本京都府京都右京區嵯峨,"Saga is the Yukyo Prefecture of Kyoto, the capital of Japan"
340,錢孫愛,Qian Sunai
341,精加校刻,Fine and proofread
342,題識/訓點,The idea/training point
343,元至元二十五年,$to $25 years
344,湖北陽新,"Yangxin, Hubei Province"
345,著/編,Write/compile
346,文政,Civil and political affairs
347,明治二十二年後,The twenty-second year after Meiji
348,改裝,refit
349,僧侶,monk
350,論語注疏,The Analects of Confucius
351,輯集/續輯,The collection/sequel
352,故唐律疏議名例篇,"Therefore, the Tang Dynasty law sparsely discussed famous examples"
353,子部,Daughter part
354,日本奈良,"Nara, Japan"
355,南宋隆興、乾道年間,The Southern Song Dynasty Long Xing and Qiandao years
356,集注,focus
357,浙江中部,Central Zhejiang
358,江戶明治之際,The reign of the Emperor of Edo
359,康暦二年後,A Congregorian calendar in two years
360,艮岳院,Genyue courtyard
361,中國-江南,"Jiangnan, China"
362,王通/阮逸,Wang Tong/Ruan Yi
363,長春,Changchun
364,金州,Golden State
365,大學,university
366,日本東京都千代田區霞关2-1,"2-1 Kasumigaseki, Chiyoda Ward, Tokyo, Japan"
367,吳岫,Wu Xiu
368,永祿九年丙寅四月十六日,Yonglu ninth Bingyin April 16
369,元順帝至元六年,Yuan Shun Emperor to Yuan six years
370,佐伯藩,Zophane
371,明治六年至昭和二十二年之間,Between the sixth year of Meiji and the 22nd year of Showa
372,明治24年,Meiji 24 years
373,魏氏家藏方,Wei's family Tibetan prescriptions
374,嘉元元年、二年,"Jiayuan Yuan years, two years"
375,江蘇崑山,"Kunshan, Jiangsu"
376,吉州安福,Keju Anfu
377,南宋慶元六年/鐮倉時代/天正、文祿間,"Southern Song Qing Yuan six years/Kamakura era/Tianzheng, Wen Lu"
378,西湖書院,West Lake Academy
379,轉贈,regift
380,明治時期?,The Meiji period?
381,重刻,reprint
382,日本,Japan
383,蘇州府常熟縣,"Fuchangshu County, Suzhou"
384,大學校/大學,A large school/university
385,日本京都府京都市上京區,"Kamikyo District, Kyodo City, Tokyo capital of Japan"
386,明治時期,Meiji period
387,魏峴,Wei Xian
388,收藏/訓點,Collection/training point
389,神田佐久間街天文臺遺址,Ruins of Sakuma Street Observatory in Kanda
390,大方廣佛華嚴經,Generous and broad Buddha and strict sutras
391,中國-江西,China - Jiangxi
392,清宮内府,The imperial Palace
393,浙江省杭州市西湖區,"Xihu District, Hangzhou City, Zhejiang Province"
394,明治元年至明治四年,The first Meiji year to the fourth Meiji year
395,日本明治元年後,Japan after the Meiji period
396,明治三十八年,The thirty-eighth year of Meiji
397,余四十三郎,A little over forty-three francs
398,撰述/編類,Writing/categorizing
399,安徽省當塗縣,"Dangtu County, Anhui Province"
400,公家,Public family
401,一九三五年至一九四九年,From 1935 to 1949
402,南宋,Southern Song Dynasty
403,日本東京都港區赤坂離宮,"Akasaka Isomiya, Minato District, Tokyo, Japan"
404,中國-天津,"Tianjin, China"
405,宝暦五年至享和元年之間,A good rebian will have five years to the first
406,中國-浙江-紹興,"Shaoxing, Zhejiang, China"
407,景文宋公集,Jingwen Song Gong set
408,1249年次己酉,The year 1249 was the year of the eleventh hour
409,北条實時以後,Hojo after real time
410,題跋,Preface and postscript
411,收藏?,Collection?
412,江南西路轉運司,Jiangnan West Road transport Department
413,日本-鐮倉,"Kamakura, Japan"
414,李隆基,Li Longji
415,日本京都右京區南禪寺,"Nanzen Temple in Yukyo District, Kyoto, Japan"
416,日本鹿兒島郡,"Kagoshima Prefecture, Japan"
417,楊萬里/周公恕,Yang Wanli/Zhou Gongshu
418,明和二年后,Next year and two years later
419,木村蒹葭堂,Kimura the House
420,訓點/批校,Training point/batch school
421,日本舊御府圖書館,The Old Imperial Palace Library in Japan
422,河合元升,Kawai Yuan Sheng
423,德川幕府,The Tokugawa shogunate
424,日本東京都文京區,"Bunkyo, Tokyo, Japan"
425,聖一國師,The Holy One National Master
426,釋悟明,enlightenment
427,西翁近藁,Scion chinensis
428,不二北軒,No two north Xuan
429,圓覺寺,Yuen Jue Temple
430,毛利高翰,High gross margin
431,稱名寺,Chengming Temple
432,寬政十年以後,After ten years of leniency
433,日本明治十七年後,Seventeen years after the Meiji period
434,歐陽修,Ouyang Xiu
435,文選（贛州本）,Selected Texts (Ganzhou version)
436,御府圖書,Imperial house book
437,中國吳縣,"Wuxian County, China"
438,朝鮮世宗,Joseon Sejong
439,溥傑,Pu Jie
440,明治七年以後,After the seventh year of Meiji
441,本草衍義,The implication of materia medica
442,寬政三年后,Three years after the Hiro reign
443,四書輯釋,The four books are released
444,日本東京市中心皇宮內天守閣遺跡旁,"Next to the ruins of the Tenshou Pavilion inside the Imperial Palace in central Tokyo, Japan"
445,中國-福建-建甌,"Jianou, Fujian, China"
446,日本明治六年後,Six years after the Meiji period
447,無範,anomia
448,原祿四年以後,Four years after the original
449,日本東京淺草藏前,"Asakusa, Tokyo, Japan"
450,壬辰之役,The Battle of the Hours
451,一九二二至一九三五,1922 to 1935
452,歐陽文忠公集,Ouyang Wenzhong Gongji
453,文中子中說,The article said
454,日本大阪,"Osaka, Japan"
455,福建建甌,"Jianou City, Fujian Province"
456,江南州,Jiangnan Prefecture
457,日本-滋賀-蒲生-日野町,Japan - Shiga - Burson - Hino Machi
458,1760年-1801年,From 1760 to 1801
459,湖南,Hunan
460,杜甫/徐居仁/黃鶴,Du Fu/Xu Juren/Huang He
461,春秋胡氏傳附錄纂疏,The Spring and Autumn Hu appendix is sparse
462,全谿義塾,Jeon Kye Juku
463,劉渙,Liu Huan
464,中國-廣東-肇慶,"Zhaoqing, Guangdong, China"
465,相國寺,Sukokuji Temple
466,崇禎二年至約康熙二十六年,Chongzhen two years to about Kangxi twenty-six years
467,日本湯島,"Yujima, Japan"
468,圓覺寺塔中歸源院,Yuan Jue Temple tower to the source of the courtyard
469,程朱二先生周易傳義,"Mr. Cheng, Zhu and Zhou Yi preached righteousness"
470,昭和二十年後,Twenty years after Showa
471,江西省吉安市,"Ji 'an City, Jiangxi Province"
472,内務省文庫,Library of Ministry of Internal Affairs
473,新編排韻增廣事類氏族大全,New arrangement of rhyme to increase the matter of clan completions
474,日本東京都千代田區千代田1-1,"1-1 Chiyoda, Chiyoda Ward, Tokyo, Japan"
475,北宋/南宋,Northern Song/Southern Song
476,天明年間,Dawn period
477,溥儀/溥傑,Pu Yi/Pu Jie
478,游宦紀聞,You eunuch chronicle
479,集千家註分類杜工部詩,Collection of thousands of notes classification Du Gongbu poetry
480,日本京都相國寺,"Shokokuji Temple in Kyoto, Japan"
481,禪林類聚,Zen forest together
482,明治維新後,After the Meiji Restoration
483,中國-北京,China - Beijing
484,一九四九年後,After 1949
485,宮内廳書陵部,The Shuling Department of the Imperial Household Department
486,中國-河北-正定,China -- Hebei -- Zhengding
487,日本東京赤坂離宮,"Akasaka Isomiya in Tokyo, Japan"
488,寺田弘(一名盛業，字士弘，號望南),"Hiroshi Terada (a Sheng ye, courtesy name Shihiro, alias Wangnan)"
489,圓德寺,Ontokji Temple
490,日本東京都千代田區,"Chiyoda Ward, Tokyo, Japan"
491,明治十七年以後,Seventeen years after the Meiji period
492,昭和五年以前,Showa five years ago
493,周易本义附錄集註十卷,Zhouyi original meaning Appendix notes ten volumes
494,明治五年至七年,Meiji five to seven years
495,妙心寺,Miaoxin Temple
496,天正十七年至明治十七年之間,Between the seventeenth year of Tenzheng and the seventeenth year of Meiji
497,日本江戶城紅葉山,"Red Leaf Mountain, Edo Castle, Japan"
498,新見正路,See the right way
499,楊倓,Yang 倓
500,重廣分門三蘇先生文粹,Heavy wide division of three Su Mr. Cultural essence
501,建陽考亭,Jianyang Kaoting
502,1618年後,After 1618
503,京都東福寺塔頭不二庵,"Tofuku Temple Tower Nobujian, Kyoto"
504,日本-東京-台東-上野,Japan - Tokyo - Taitung - Ueno
505,重光殿?,The Hall of Heavy Light?
506,日本江戶,"Edo, Japan"
507,寬政三年後,Three years after the Hiro reign
508,昭和八年之後,Eight years after Showa
509,江蘇省揚州市,"Yangzhou City, Jiangsu Province"
510,朝鮮坡平？,"Papyeong, North Korea?"
511,王安石,Wang Anshi
512,享和壬戌及以後,"And the disciples, and after"
513,蕭統/李善/五臣（呂延濟、劉良、張銑、呂向、李周瀚）,"Xiao Tong/LI Shan/Wu Chen (LV Yanji, Liu Liang, Zhang Mill, Lu Xiang, LI Zhouhan)"
514,市橋長昭,The mayor of the city bridge is Aki
515,僧玄興,Monk Xuanxing
516,日本越前國福井藩,Japan Echizen Kunu Fukui Fan
517,釋宗杲,Shi Zonggao
518,日本東京都赤坂離宮,Akasaka Isomiya in Tokyo
519,撰/注,Write/note
520,朝鮮?,North Korea?
521,日本-京都-八幡,Japan - Kyoto - Yawata
522,日本東京上野忍岡,"Nobuoka Ueno, Tokyo, Japan"
523,蘇軾,Su Shi
524,紅葉山文庫,Hongye Mountain Library
525,日本東京,"Tokyo, Japan"
526,丁度,Butyl degree
527,撰/編,Compile/compile
528,約寳歷五年至寬政十三年,Jobo has lived from five years to 13 years
529,明治二十六年十月,"October 26, Meiji"
530,日本鐮倉,"Kamakura, Japan"
531,肇慶軍府,Zhaoqing Jun Fu
532,中國-江西-吉州-安福,China - Jiangxi - Jizhou - Anfu
533,祝穆,Zhu Mu
534,明英宗正統十一年,Ming English orthodox eleven years
535,南宋慶元二年,The second year of Qingyuan in the Southern Song Dynasty
536,書籍館,Library of books
537,陳元靚,Chen Yuanliang
538,紹興丁卯季冬,
539,中國-浙江-寧波,"Ningbo, Zhejiang, China"
540,韓國首爾,"Seoul, South Korea"
541,昭和八年后,Eight years after Showa
542,享和三年,Enjoy peace for three years
543,森立之,Riyuki Mori
544,北条實時之後,Hojo in real time
545,太平御覽,Peaceful view
546,日本東京都台東區上野,"Ueno, Taidong District, Tokyo, Japan"
547,史部,Department of History
548,日本-京都-右京-嵯峨,Japan - Kyoto-Yukyo-Saga
549,北京,Beijing
550,福建建陽,"Jianyang, Fujian Province"
551,中國-陝西-安康,"Ankang, Shaanxi, China"
552,皇家,Royal family
553,宋孝宗乾道間,Between Emperor Xiaozong of Song Dynasty and Emperor Qiandao
554,江蘇省蘇州市,"Suzhou, Jiangsu Province"
555,賜蘆文庫,Cishu Bunko
556,應永二十年至文明七年,Twenty years to seven years of civilization
557,著,the
558,尚書正義,Justice of the book
559,日本近江國蒲生郡西大路藩,"Nishida, Pusheng Prefecture, Kanjiang Kingdom, Japan"
560,明治六年前,Six years before Meiji
561,日本寬政九年後,Nine years after the Japanese Kuan Yew
562,日本京都大德寺,"Otoku Temple in Kyoto, Japan"
563,天津,Tianjin
564,一九三五年四月,April 1935
565,日本京都東福寺塔頭寶勝院,"Tatou Bakatsuwon, Tofuku Temple, Kyoto, Japan"
566,撰/箋註/評點,Write/annotate/comment on notes
567,文政年間,Wenzheng period
568,内務省,Ministry of Internal Affairs
569,東陽,Dongyang
570,日本京都御苑,"Gyoen, Kyoto, Japan"
571,寒山詩集,Hanshan poetry collection
572,楓山官庫,Fengshan official Library
573,昌平坂學問所,Changping Ban Institute of Learning
574,増上寺恵照院,High temple Hui photo hospital
575,中國-江蘇-張家港,"Zhangjiagang, Jiangsu, China"
576,日本神田湯島,"Kanda Yujima, Japan"
577,顧然,Gu Ran
578,康熙年間,Reign of Kangxi
579,日本越前福原寺?,Japan Echizen Fukuhara Temple?
580,明治初,Early Meiji period
581,寒山,Cold mountain
582,日本京都,"Kyoto, Japan"
583,日本京都府京都市上京區今出川通烏丸東入相國寺門前町,"Sukokuni Teraemon Machi, Imidekawa Tonugamaru, Shangkyo District, Kyodo Prefecture, Japan"
584,王安石/李壁/劉辰翁,Wang Anshi/Li Bi/Liu Chenweng
585,玉雲庵 ,Yuyun nunnery
586,天龍寺金剛院,Tenlong Temple Vajra courtyard
587,毋逢辰,Never a good time
588,廬陵,Luling
589,撰/覆審/刊定,I write/review/KanDing
