,福建省建陽縣麻沙鎮,"Masha Town, Jianyang County, Fujian Province",,,,,
,湖南,Hunan,,,,,
,江蘇省揚州市,"Yangzhou City, Jiangsu Province",,,,,
,中國江蘇蘇州,"Suzhou, Jiangsu, China",,,,,
agent,釋宗杲,Shi Zonggao,,,,,
,寺田弘(一名盛業，字士弘，號望南),"Hiroshi Terada (a Seigyo, courtesy name Shiko, alias Bonan)",,,,,
,蘇軾,Su Shi,,,,,
,沢田一斎,Issai Sawada,,,,,
,宋祁,Song Qi,,,,,
,巢元方,Neiyuan formula,,,,,
,朱熹/程復心,Zhu Xi/Cheng Fuxin,,,,,
,僧玄興,Monk Xuanxing,Nankagenko（日僧南化玄興？）,,,,
,德富蘇峰,Soho Tokutomi,,,,,
,菅原在輔,Arisuke Sugawara,,,,,
,小倉祐利,Yuri Ogura,,,,,
,寶英,Baoying,,,,,
,丹波氏(即多紀氏，多紀元孝等),"Tanba (i.e. Taki, Mototaka Taki, etc.)",,,,,
,蕭統/李善/五臣（呂延濟、劉良、張銑、呂向、李周瀚）,"Xiao Tong/LI Shan/Wu Chen (LV Yanji, Liu Liang, Zhang Mill, Lu Xiang, LI Zhouhan)",,,,,
,陳景沂/祝穆,Chen Jingyi/Zhu Mu,,,,,
,丁度,Butyl degree,,,,,
,釋悟明,enlightenment,,,,,
,圓種,Round species,,,,,
,愛新覺羅顒琰、旻宁、奕詝、载淳、载湉、溥仪,"Aisin Jogoro, Minning, Yi wisdom, Jaisun, Jaishu, Pu Yi",,,,,
,李昉,Li Fang,,,,,
,岡本況齋,Kyosai Okamoto,,,,,
,王安石,Wang Anshi,,,,,
,高麗肅宗,King Sukjong of Goryeo,,,,,
,真勢中洲,Chusyu Mase,,,,,
,聖一國師,Syoichi-kokushi,,,,,
,市橋長昭,Nagaaki Ichihashi,,,,,
,陳澔,Chen ho,,,,,
,寺田望南,Terada Bonan,,,,,
,毛利高翰,Takanaka Mori,,,,,
,柴邦彥,Kunihiko Shiba,,,,,
,寒山,Cold mountain,,,,,
,王安石/李壁/劉辰翁,Wang Anshi/Li Bi/Liu Chenweng,,,,,
,杜甫/徐居仁/黃鶴,Du Fu/Xu Juren/Huang He,,,,,
,劉渙,Liu Huan,,,,,
,許謙,Xu Qian,,,,,
,范履祥,Fan Luxiang,,,,,
,毋逢辰,Wu Fengchen,,,,,
,林恕,Lin Shu,,,,,
,清田儋叟,Tanso Seita,,,,,
,多紀元德,Motonori Taki,,,,,
,森立之,Risshi Mori,,,,,
,實叉難陀,Shiharnanda,,,,,
,董楷,Dong Kai,,,,,
,狩谷棭齋,Ekisai Kariya,,,,,
,溥傑,Pu Jie,,,,,
,山田業廣,Gyoko Yamada,,,,,
,朝鮮世宗,Joseon Sejong,,,,,
,陳元靚,Chen Yuanliang,,,,,
,呂祖謙,Lv Zuqian,,,,,
,祝穆,Zhu Mu,,,,,
,孔穎達/王德韶/李子雲/朱長才/蘇德融/隋德素/王士雄/趙弘智/長孫無忌/李勣/于志寧/張行成/高季輔/褚遂良/柳奭/谷那律/劉伯莊/賈公彥/范義頵/齊威/柳士宣/孔志約/趙君贊/薛伯珍/史士弘/鄭祖玄/周玄達/李玄植/王真儒,Kong Yingda/Wang Deshao/Li Ziyun/Zhu Changcai/Su Delong/Sui Desu/Wang Shixiong/Zhao Hongzhi/Changsun Wuji/Li Merit/Yu Zhining/Zhang Xingcheng/Gao Jifu/Chu Suiliang/Liu Shi/Gu Nalu/Liu Bozhuang/Jia Gongyan/Fan Yishuang/Qi Wei/Liu Shixuan/Kong Zhiyao/Zhao Junzan/Xue Bozhen/Shi Shihong/Zheng Zuxuan/Zhou Xuanda/Li Xuanshik/Wang Zhenru,,,,,
,李公凱,Li Gongkai,,,,,
,張清子,Zhang Qingzi,,,,,
,井口蘭雪,Ransetsu Iguchi,,,,,
,歐陽修,Ouyang Xiu,,,,,
,顧然,Gu Ran,,,,,
,溥儀/溥傑,Pu Yi/Pu Jie,,,,,
,寇宗奭,Kou Zongshi,,,,,
,樂史,Leshi,,,,,
,彭寅翁,Peng Yin Weng,,,,,
,河合元升,Gensyo Kawai,,,,,
,毛利高標,Takasue Mori,,,,,
,余彥國,Yu Yanguo,,,,,
,宇喜多秀家,Hideie Ukita,,,,,
,德川家齊,Ienari Tokugawa,,,,,
,愛新覺羅弘曆,Aixinjueluo Hongli,,,,,
,王通/阮逸,Wang Tong/Ruan Yi,,,,,
,陳齊巖,Chen Qiyan,,,,,
,納蘭揆敘,Naran Cosur,,,,,
,余志安,Yu Zhi 'an,,,,,
,吳岫,Wu Xiu,,,,,
,樋口光義,Mitsuyoshi Higuchi,,,,,
,真定提學龍山趙候國寶,Really set learning Longshan Zhao Hou national treasure,,,,,
,狩谷望之,Mochiyuki Kariya,,,,,
,魏峴,Wei Xian,,,,,
,芝野六助,Rokusuke Shibano,,,,,
,細川十洲(潤次郎),Hosokawa Jyussyu (Jyunjiro),,,,,
,譚景星/陳泗孔,Tan Jingxing/Chen Sikong,,,,,
,溥儀/日本天皇,Pu Yi/The Emperor of Japan,,,,,
,多紀元孝,Mototaka Taki,,,,,
,趙善繼/盧欽,Zhao Shanji/Lu Qin,,,,,
,王充,Wang Chong,,,,,
,張世南,Zhang Shinan,,,,,
,蘇天爵,Su Tianjue,,,,,
,蘇洵/蘇軾/蘇轍/闕名,Su Xun/Su Shi/Su Zhe/Que name,,,,,
,心華元棣,Shinge Gentei,,,,,
,曲直瀨養安院家,Manase-yoanin,,,,,
,唐寅,Tang Yin,,,,,
,倪士毅,Ni Shiyi,,,,,
,林衡,Lin Heng,,,,,
,崔敦诗,Choi Dunshi,,,,,
,郭璞/邢昺,Guo Pu/Xing Bing,,,,,
,堀正意,Masaoki Hori,,,,,
,山内豊信,Toyoshige Yamauchi,,,,,
,錢孫愛,Qian Sunai,,,,,
,釋居簡,A surname,,,,,
,日典,Nitten,,,,,
,木村正辭,Masakoto Kimura,,,,,
,渡邊霞亭,Katei Watanabe,,,,,
,楊倓,Yang Yan,,,,,
,尹瑜,Yin Yu,,,,,
,江戶幕府,The Edo shogunate,正確,,,,
,榊原玄輔,Gensuke Sakakibara,,,,,
,伊勢屋源七,Iseya Genshichi,,,,,
,林宗二,Rin Soji,,,,,
,汪克寬,Wang Kekuan,,,,,
,李隆基,Li Longji,,,,,
,汪啟淑,Wang Qishu,,,,,
,多紀元簡,Motoyasu Taki,,,,,
,洪适,Hong Shi,,,,,
,黃公紹/熊忠,Huang Gongshao/Xiong Zhong,,,,,
,李濂,Li Lian,,,,,
,劉義慶/劉孝標,Liu Yiqing/Liu Xiaobiao,,,,,
,楊萬里/周公恕,Yang Wanli/Zhou Gongshu,,,,,
,木村蒹葭堂,Kenkado Kimura,,,,,
,釋道泰/智境,Shi Tao Tai/Zhi Jing,,,,,
,陳師文,Chen Shiwen,,,,,
,館機(名機，字樞卿),"Pavilion machine (first name machine, Chinese character Shuqing)",,,,,
,無學祖元,Mugaku Sogen,,,,,
,聞人模,Human model,,,,,
,新見正路,Shinmi Masamichi,,,,,
,杜佑,Du You,,,,,
,上杉憲實,Norizane Uesugi,,,,,
,徐堅,Xu Jian,,,,,
,楊萬里/楊長儒/羅茂良,Yang Wanli/Yang Changru/Luo Maoliang,,,,,
,釋法應/釋普惠,The interpretation of the Fa should be/the interpretation of the Pu Hui,,,,,
,余四十三郎,Yu 43 lang,,,,,
,長孫無忌,Eldest son Wuji,,,,,
library,宮内省圖書寮,The Tosyoryo Bunko of Imperial Household Agency,,,,,
,宮内廳書陵部,The Syoryobu Department of Imperial Household Agency,,,,,
,圓德寺,Entokuji Temple,,,,,
,日本舊御府圖書館,The Old Imperial Palace Library in Japan,,,,,
,妙心寺,Myoshinji Temple,,,,,
,勤有堂,Qin Yutang,,,,,
,清宮内府,The imperial Palace,,,,,
,不二北軒,North Fuji-an,如爲東福寺塔頭，則如此。,,,,
,御府圖書,Imperial house book,,,,,
,無範,Muhan,河合元昇藏書印,,,,
,大學校/大學,A large school/university,,,,,
,趨古齋,Ancient zhai,,,,,
,佐伯藩,Saiki Han,,,,,
,稱名寺,Syomyoji Temple,,,,,
,德川幕府,The Tokugawa shogunate,,,,,
,心華藏書,The collection of Shinge Gentei,,,,,
,日本政府圖書,Books of Japanese government,,,,,
,全谿義塾,Jeon Kye Juku,,,,,
,内閣文庫,Naikoku Bunko,,,,,
,崇道精舍,Chongdao Jing House,,,,,
,艮岳院,Kongaku-in,,,,,
,相國寺,Syokokuji Temple,,,,,
,圓覺寺塔中歸源院,Kigenin，Tattyu of Engakuji Temple,,,,,
,内務省文庫,Library of Home Ministry,,,,,
,圓覺寺,Engakuji Temple,,,,,
,芳春院,Housyunin,可能是日本歷史上一位女性，前田利家的正室,,,,
,懷仙樓,Huai Xian Lou,,,,,
,建依別文庫,Takeyoriwake Bunko,,,,,
,楓山文庫,Momijiyama Bunko,,,,,
,聿修堂,Issyudo,可能是多紀氏的堂號,,,,
,宮内省書陵部,The Syoryobu Department of Imperial Household Agency,,,,,
,醫學館,Igakukan,,,,,
,京都高山寺,Kouzanji Temple，Kyoto,,,,,
,江戶醫學館(初名“躋壽館”),"Edo Igakukan (original name ""Seijyukan"")",,,,,
,京都學校,Kyoto school,未知,,,,
,京都妙覺寺,Myokakuji Temple，Kyoto,,,,,
,顏氏家藏,The Yan family stash,,,,,
,桂宮文庫,Katsuranomiya Bunko,,,,,
,讀杜草堂/靜節山房,Read Du cottage/static section mountain room,,,,,
,文化辛未,Bunka Xinwei,當爲日本文化八年辛未，干支不知如何翻譯，直接使用拼音。,,,,
,躋壽館,Seijyukan,,,,,
,享和壬戌,Kyowa Renxu,當爲日本享和二年，干支不知如何翻譯，直接使用拼音。,,,,
,北玉照齋,North Jade Light Zhai,未知,,,,
,興國軍,Xingguo army,,,,,
,金澤文庫,Kanazawa Bunko,,,,,
,幕府?,The shogunate?,,,,,
,真定,genidine,,,,,
,黃雪書屋,Kosetsu syooku,,,,,
,霞亭,Katei,疑爲渡邊霞亭,,,,
,學習院,Gakusyuin,,,,,
,龍眠庵,Ryumin-an,,,,,
,普門院,Fumonin,,,,,
,南禪寺金地院,Konchiin in Nanzenji Temple,,,,,
,謙牧堂,Chamomido,,,,,
,廣壽院,Kojyuin,,,,,
,狩谷棭齋求古樓,Kyukoro of Kariya Ekisai,,,,,
,金地院,Konchiin,,,,,
,林氏家塾,Rinji kajyuku,如果是藏書印文則當如此,,,,
,淺草文庫,Bunko Asakusa,,,,,
,成簣堂文庫,Seikido Bunko,,,,,
,天祿琳瑯,The heavens are full of riches,,,,,
,天龍寺鹿王院,Rokuohin，Tenryuji Temple,,,,,
,戶塚宿,Totsuka juku,,,,,
,翫月堂,Gangetsudo,未知是否是版元名稱,,,,
,太政官文庫,Dajyokan Bunko,,,,,
,誌書精舍,Zhi Shu Jing House,,,,,
,増上寺恵照院,Esyoin in Zoujyoji Temple,,,,,
,楓山官庫,Momijiyama Bunko,,,,,
,昌平坂學問所,Syoheizaka gakumonjyo,,,,,
,神宮寺,Jinguji,,,,,
,寶勝院,Hosyoin,,,,,
,書籍館,Syosekikan,未知,,,,
,玉雲庵,Gyokuun-an,,,,,
,内務省,Home Ministry,,,,,
,帝國博物館,Imperial Museum,,,,,
,京都五山南禪寺,Nanzenji Temple in Kyoto Gozan,,,,,
,建安勵賢堂,Jianan Lixian Hall,,,,,
,肇慶軍府,Zhaoqing Jun Fu,,,,,
,天龍寺金剛院,Kongoin，Tenryuji Temple,,,,,
,賜蘆文庫,Shiro Bunko,,,,,
,經筵,Longitude feast,,,,,
,暢春堂,Chosyundo,河合元昇藏書印,,,,
,植邨書屋,Syokuson syooku,河合元昇藏書印,,,,
,重光殿?,The Hall of Heavy Light?,,,,,
,朝鮮李氏王朝王宮,Palace of the Lee Dynasty of Korea,,,,,
,紅葉山文庫,Momijiyama Bunko,,,,,
location_std,日本-東京-內務省,Japan -- Tokyo -- Home Ministry,日本：Japan,東京：Tokyo,內務省：Ministry of Internal Affairs,,
,日本-東京-千代田-霞关,Japan -- Tokyo -- Chiyoda -- Kasumigaseki,日本：Japan,東京：Tokyo,千代田：Chiyoda,霞关：Kasumigaseki,
,朝鮮-開城市,"Kaesong, North Korea",朝鮮：North Korea,開城市：Kaesong,,,
,中國-江蘇-揚州,"Yangzhou, Jiangsu, China",中國：China,江蘇：Jiangsu,揚州：Yangzhou,,
,中國-江西-贛州,China - Jiangxi - Ganzhou,中國：China,江西：Jiangxi,贛州：Ganzhou,,
,日本-東京-臺東-上野公園北,Japan - Tokyo - Taito - Ueno Park North,日本：Japan,東京：Tokyo,臺東：Taitung,上野公園北：Ueno Park North,
,中國-廣東-肇慶,"Zhaoqing, Guangdong, China",中國：China,廣東：Guangdong,肇慶：Zhaoqing,,
,日本-京都-右京-嵯峨-北堀町,Japan - Kyoto - Ukyo - Saga - Kitabori-cho,日本：Japan,京都：Kyoto,右京：Yukyo,嵯峨：Saga,北堀町：Kitahori Machi
,中國-福建-建陽,"Jianyang, Fujian, China",中國：China,福建：Fujian,建陽：Jianyang,,
,中國-江西,China - Jiangxi,中國：China,江西：Jiangxi,,,
,中國-江蘇-蘇州,China - Jiangsu - Suzhou,中國：China,江蘇：Jiangsu,蘇州：Suzhou,,
,日本-東京-千代田-皇居,Japan - Tokyo - Chiyoda - Imperial Palace,日本：Japan,東京：Tokyo,千代田：Chiyoda,皇居：Imperial Palace,
,日本-京都-右京,Japan - Kyoto - Ukyo,日本：Japan,京都：Kyoto,右京：Yukyo,,
,日本-東京-台東-上野,Japan - Tokyo - Taito - Ueno,日本：Japan,東京：Tokyo,台東：Taitung,上野：Ueno,
,日本-四國-高知,Japan - Shikoku - Kochi,日本：Japan,四國：Shikoku,高知：Kochi,,
,日本-東京-千代田-北之丸公園,Japan -- Tokyo -- Chiyoda -- Kitanomaru Park,日本：Japan,東京：Tokyo,千代田：Chiyoda,北之丸公園：Kitanomaru Park,
,中國-浙江-東陽,"Dongyang, Zhejiang, China",中國：China,浙江：Zhejiang,東陽：Dongyang,,
,日本-滋賀-蒲生-日野町,Japan - Shiga - Gamo - Hino-cho,日本：Japan,滋賀：Shiga,蒲生：Burson,日野町：Hino Machi,
,中國-天津,"Tianjin, China",中國：China,天津：Tianjin,,,
,中國-四川-成都,China - Sichuan - Chengdu,中國：China,四川：Sichuan,成都：Chengdu,,
,日本-京都-東山-本町,Japan - Kyoto - Higashiyama - Motomachi,日本：Japan,京都：Kyoto,東山：Higashiyama,本町：Motomachi,
,中國-湖北-陽新,"Yangxin, Hubei Province, China",中國：China,湖北：Hubei Province,陽新：Yangxin,,
,日本-東京-千代田-神田佐久間町,Japan - Tokyo - Chiyoda - Kanda Sakuma Machi,日本：Japan,東京：Tokyo,千代田：Chiyoda,神田佐九間町：Kanda Sakuma Machi,
,日本-京都-東山区,Japan - Kyoto - Higashiyama Ward,日本：Japan,京都：Kyoto,东山区：Higashiyama Ward,,
,中國-江西-吉州-安福,China - Jiangxi - Jizhou - Anfu,中國：China,江西：Jiangxi,吉州：Jizhou,安福：Anfu,
,中國-浙江-紹興,"Shaoxing, Zhejiang, China",中國：China,浙江：Zhejiang,紹興：Shaoxing,,
,中國-浙江,"Zhejiang, China",中國：China,浙江：Zhejiang,,,
,中國-福建-建甌,"Jianou, Fujian, China",中國：China,福建：Fujian,建甌：Jianou,,
,日本-神奈川-橫濱-金澤,Japan - Kanagawa - Yokohama - Kanazawa,日本：Japan,神奈川：Kanagawa,橫濱：Yokohama,金澤：Kanazawa,
,中國-浙江-寧波,"Ningbo, Zhejiang, China",中國：China,浙江：Zhejiang,寧波：Ningbo,,
,日本-東京-上野忍岡,Japan -- Tokyo -- Ueno Shinobugaoka,日本：Japan,東京：Tokyo,上野忍岡：Nobuoka Ueno,,
,中國-江蘇-崑山,"Kunshan, Jiangsu, China",中國：China,江蘇：Jiangsu,崑山：Kunshan,,
,日本-姬路,Japan - Himeji,日本：Japan,姬路：Himeji,,,
,日本-東京-豐島,Japan - Tokyo - Toshima,日本：Japan,東京：Tokyo,豐島：Toshima,,
,日本-京都,"Kyoto, Japan",日本：Japan,京都：Kyoto,,,
,日本-鐮倉,"Kamakura, Japan",日本：Japan,鐮倉：Kamakura,,,
,日本-京都-右京-嵯峨,Japan - Kyoto-Ukyo-Saga,日本：Japan,京都：Kyoto,右京：Yukyo,嵯峨：Saga,
,日本-神奈川-橫濱-戶塚,Japan -- Kanagawa -- Yokohama -- Totsuka,日本：Japan,神奈川：Kanagawa,橫濱：Yokohama,戶塚：Tozuka,
,中國-安徽-舒縣,China - Anhui - Shu County,中國：China,安徽：Anhui,舒縣：Shu County,,
,日本-奈良,"Nara, Japan",日本：Japan,奈良：Nara,,,
,中國-湖南,China - Hunan,中國：China,湖南：Hunan,,,
,日本-大阪,"Osaka, Japan",日本：Japan,大阪：Osaka,,,
,韓國-首爾,"Seoul, South Korea",韓國：South Korea,首爾：Seoul,,,
,日本-神奈川-鎌倉,Japan -- Kanagawa -- Kamakura,日本：Japan,神奈川：Kanagawa,鎌倉：Kamakura,,
,中國-江南,"Jiangnan, China",中國：China,江南：Jiangnan,,,
,日本-大分-佐伯,Japan - Oita - Saiki,日本：Japan,大分：Oita,佐伯：Zabe,,
,朝鮮-坡平,"Pyeong, North Korea",朝鮮：North Korea,坡平：Pyeong,,,
,中國-北京,China - Beijing,中國：China,北京：Beijing,,,
,中國-陝西-安康,"Ankang, Shaanxi, China",中國：China,陝西：Shaanxi,安康：Ankang,,
,日本-東京-紅葉山,Japan - Tokyo - Momijiyama,日本：Japan,東京：Tokyo,紅葉山：Kaya Hill,,
,中國-浙江-杭州-西湖,China - Zhejiang - Hangzhou - West Lake,中國：China,浙江：Zhejiang,杭州：Hangzhou,西湖：West Lake,
,日本-鹿兒島,"Kagoshima, Japan",日本：Japan,鹿兒島：Kagoshima,,,
,中國-福建-建瓯,"Jianou, Fujian, China",中國：China,福建：Fujian,建瓯：Jianou,,
,日本-京都-上京,Japan - Kyoto - Kamigyo,日本：Japan,京都：Kyoto,上京：Tokyo,,
,中國-江西-吉安,China - Jiangxi - Ji 'an,中國：China,江西：Jiangxi,吉安：Ji 'an,,
,中國-江西-南昌,"Nanchang, Jiangxi, China",中國：China,江西：Jiangxi,南昌：Nanchang,,
,中國-上海-青浦,"Qingpu, Shanghai, China",中國：China,上海：Shanghai,青浦：Qingpu,,
,日本-東京-港區-赤坂離宮,Japan -- Tokyo -- Minato Ward -- Akasakarikyu,日本：Japan,東京：Tokyo,港區：Port Ward,赤坂離宮：Akasaka Iegong,
,日本-東京-文京-湯島,Japan - Tokyo - Bunkyo - Yushima,日本：Japan,東京：Tokyo,文京：Bunkyo,湯島：Yujima,
,日本-京都-右京-南禪寺,Japan - Kyoto - Ukyo - Nanzenji Temple,日本：Japan,京都：Kyoto,右京：Yukyo,南禪寺：Nanzen Temple,
,中國-吉林-長春,China -- Jilin -- Changchun,中國：China,吉林：Jilin,長春：Changchun,,
,中國-河北-正定,China -- Hebei -- Zhengding,中國：China,河北：Hebei,正定：Zhengding,,
,日本-岡山,Japan - Okayama,日本：Japan,岡山：Okayama,,,
,日本-京都-相國寺,Japan -- Kyoto -- Syokokuji Temple,日本：Japan,京都：Kyoto,相國寺：Prime Temple,,
,中國-福建,China - Fujian,中國：China,福建：Fujian,,,
,日本-京都-八幡,Japan - Kyoto - Yawata,日本：Japan,京都：Kyoto,八幡：Yawata,,
,日本-神奈川-橫濱-金澤-金澤町,Japan - Kanagawa - Yokohama - Kanazawa - Kanazawa,日本：Japan,神奈川：Kanagawa,橫濱：Yokohama,金澤：Kanazawa,金澤町：Kanazawa
,中國-福建-建陽-麻沙鎮,China - Fujian - Jianyang - Masha Town,中國：China,福建：Fujian,建陽：Jianyang,麻沙鎮：Masha Town,
,日本-東京-台東-藏前町,Japan - Tokyo - Taito - Kuramae-cho,日本：Japan,東京：Tokyo,台東：Taitung,藏前町：Ashimae Machi,
,日本-福井,Japan - Fukui,日本：Japan,福井：Fukui,,,
,日本-東京,Japan - Tokyo,日本：Japan,東京：Tokyo,,,
,中國-福建-南平-建陽,China - Fujian - Nanping - Jianyang,中國：China,福建：Fujian,南平：Nanping,建陽：Jianyang,
,中國-江蘇-張家港,"Zhangjiagang, Jiangsu, China",中國：Zhangjiagang,江蘇：Jiangsu,張家港：China,,
,中國-浙江-杭州,China - Zhejiang - Hangzhou,中國：China,浙江：Zhejiang,杭州：Hangzhou,,
,日本-京都-北區,Japan - Kyoto - Kita Ward,日本：Japan,京都：Kyoto,北區：North,,
,日本-東京-千代田,Japan - Tokyo - Chiyoda,日本：Japan,東京：Tokyo,千代田：Chiyoda,,
,中國-安徽-當塗,China - Anhui - Dangtu,中國：China,安徽：Anhui,當塗：Dangtu,,
,日本-東京-中心皇宮內舊御府圖書館,Japan - Tokyo - Central Imperial Palace Old Imperial Palace Library,日本：Japan,東京：Tokyo,中心皇宮內舊御府圖書館：Central Imperial Palace Old Imperial Palace Library,,
,日本-滋賀-東山道地區,Japan - Shiga - Tosando area,日本：Japan,滋賀：Shiga,東山道地區：Higashiyama area,,
地點,中国福建建陽,"Jianyang, Fujian Province, China",,,,,
,日本近江國蒲生郡西大路藩,Nishioji -han，Gamo-gun，Ominokuni，Japan,,,,,
,日本東京上野湯島,"Ueno Yushima, Tokyo, Japan",,,,,
,日本神田湯島,"Kanda Yushima, Japan",,,,,
,福建建陽,"Jianyang, Fujian Province",,,,,
,東陽,Dongyang,,,,,
,紹興府,Shaoxing prefecture,,,,,
,天津,Tianjin,,,,,
,日本京都東福寺塔頭寶勝院,"Tattyu Hosyo-in, Tofukuji Temple, Kyoto, Japan",,,,,
,北京,Beijing,,,,,
,日本江戶時代九州地區豐后國海部郡佐伯藩,Saiki-han，Amabe-gun，Bungonokuni，Kyusyu，Japan in Edo Period,,,,,
,日本京都大德寺,"Daitokuji Temple in Kyoto, Japan",,,,,
,日本東京都赤坂離宮,Akasakarikyu in Tokyo,,,,,
,日本東京,"Tokyo, Japan",,,,,
,贛州,Ganzhou,,,,,
,日本京都相國寺,"Shokokuji Temple in Kyoto, Japan",,,,,
,日本東京赤坂離宮,Akasakarikyu in Tokyo,,,,,
,日本東京都千代田區,"Chiyoda Ward, Tokyo, Japan",,,,,
,日本江戶城紅葉山,"Momijiyama Mountain, Edo Castle, Japan",,,,,
,建陽考亭,Jianyang Kaoting,,,,,
